"","X","ENS","PreB_shPhf23_1_count","PreB_shPhf23_2_count","PreB_shPhf23_3_count","PreB_shRen_1_count","PreB_shRen_2_count","PreB_shRen_3_count","PreB_shPhf23_1_TPM","PreB_shPhf23_2_TPM","PreB_shPhf23_3_TPM","PreB_shRen_1_TPM","PreB_shRen_2_TPM","PreB_shRen_3_TPM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","cluster"
"32392",32392,"ENSMUSG00000006529",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Itih1",16424,"H3K4me3_H3K27ac_RNA"
"21168",21168,"ENSMUSG00000021910",5458,5320,4858,4866,5242,4445,1.374467984,1.365089362,1.214343622,1.203025737,1.320073501,1.314890718,5019.400558,0.081619146,0.05669456,1.43962923,0.149972325,0.537643734,"Nisch",64652,"H3K4me3_H3K27ac_RNA"
"9607",9607,"ENSMUSG00000021900",173,175,163,209,194,149,0.35344378,0.364301234,0.330555839,0.419200936,0.39634736,0.357583364,193.873405,-0.129672617,0.134138334,-0.966708126,0.333689964,0.73132971,"Btd",26363,"H3K4me3_H3K27ac_RNA"
"10777",10777,"ENSMUSG00000037722",666,655,751,719,768,682,1.559398151,1.562688581,1.745443164,1.652773699,1.798224894,1.875788884,682.241213,-0.090115229,0.081781562,-1.101901536,0.270504481,0.678189256,"Gnpnat1",54342,"H3K4me3_H3K27ac_RNA"
"17467",17467,"ENSMUSG00000021840",4754,4510,4795,4795,4779,4235,3.521531077,3.404060287,3.525688577,3.487086148,3.540049857,3.685043003,4457.582078,0.002827503,0.043866947,0.064456334,0.948606875,0.988883136,"Mapk1ip1l",218975,"H3K4me3_H3K27ac_RNA"
"15081",15081,"ENSMUSG00000061244",1984,1823,1853,1896,1896,1818,0.98395055,0.921226933,0.912199885,0.923148684,0.940307582,1.059112958,1778.166986,-0.012883602,0.061735481,-0.208690395,0.834689939,0.957596166,"Exoc5",105504,"H3K4me3_H3K27ac_RNA"
"21004",21004,"ENSMUSG00000049295",331,349,321,319,362,256,0.471211282,0.506245839,0.45360278,0.445841085,0.515342852,0.428099233,339.3305209,0.07745583,0.107836973,0.718267843,0.472592154,0.81812956,"Zfp219",69890,"H3K4me3_H3K27ac_RNA"
"15507",15507,"ENSMUSG00000059674",187,177,139,164,182,151,0.421959348,0.40695897,0.311334175,0.363307674,0.410677012,0.400242084,188.9697412,-0.004155701,0.140164384,-0.029648767,0.976347172,0.994027651,"Cdh24",239096,"H3K4me3_H3K27ac_RNA"
"21966",21966,"ENSMUSG00000022194",785,852,812,754,749,739,0.682896999,0.755220022,0.701172001,0.643959583,0.65157943,0.755173573,813.4386525,0.101977343,0.07576942,1.345890503,0.178337832,0.581055216,"Pabpn1",54196,"H3K4me3_H3K27ac_RNA"
"24694",24694,"ENSMUSG00000022199",22,14,21,17,9,22,0.059034058,0.038278627,0.05593482,0.044784796,0.024150297,0.069345684,20.01102865,0.208238958,0.407655697,0.510820675,0.609476631,0.884555134,"Slc22a17",59049,"H3K4me3_H3K27ac_RNA"
"22924",22924,"ENSMUSG00000040721",315,265,302,261,304,230,0.093695449,0.080316018,0.08916571,0.076216704,0.090423544,0.08036234,281.8557893,0.128955919,0.112689005,1.144352274,0.252477573,0.661120482,"Zfhx2",239102,"H3K4me3_H3K27ac_RNA"
"15542",15542,"ENSMUSG00000022223",520,520,490,558,491,461,2.610875995,2.660324404,2.442091718,2.7505454,2.465269449,2.718946265,525.0146246,-0.00348935,0.086481913,-0.040347748,0.967815887,0.99279967,"Sdr39u1",654795,"H3K4me3_H3K27ac_RNA"
"6799",6799,"ENSMUSG00000021947",101,146,116,160,158,128,0.440936076,0.649464576,0.502684203,0.685766015,0.689781188,0.656418824,134.6771459,-0.315955308,0.165610885,-1.907817274,0.056414837,0.346762499,"Cryl1",68631,"H3K4me3_H3K27ac_RNA"
"24188",24188,"ENSMUSG00000021952",2368,2256,2249,1998,2041,1922,1.045739353,1.015147623,0.985857621,0.866241437,0.901331934,0.997038514,2104.685401,0.180179969,0.058570564,3.076288777,0.002095947,0.046213217,"Xpo4",57258,"H3K4me3_H3K27ac_RNA"
"11340",11340,"ENSMUSG00000021990",1017,938,1049,1009,1117,983,0.351031074,0.329895051,0.359404149,0.34191448,0.385547403,0.398561115,1026.249242,-0.073914467,0.071312921,-1.0364807,0.299977939,0.703173212,"Spata13",219140,"H3K4me3_H3K27ac_RNA"
"10175",10175,"ENSMUSG00000021932",1360,1228,1248,1439,1391,1243,1.144452968,1.052945181,1.042453317,1.188834918,1.170539763,1.228703139,1293.870944,-0.109216695,0.06487483,-1.683498755,0.09227858,0.437855986,"Rnaseh2b",67153,"H3K4me3_H3K27ac_RNA"
"24814",24814,"ENSMUSG00000061356",7,4,2,2,5,4,0.013855143,0.008067172,0.003929398,0.003886375,0.009896531,0.009300146,4.762889739,0.214853347,0.822731475,0.261146381,0.793979625,NA,"Nuggc",100503545,"H3K4me3_H3K27ac_RNA"
"14641",14641,"ENSMUSG00000059456",3232,3021,2888,3305,3214,2629,1.481939348,1.411426138,1.314435426,1.487757877,1.473685973,1.416010459,3212.653903,-0.020474745,0.057724218,-0.354699384,0.722814812,0.928430012,"Ptk2b",19229,"H3K4me3_H3K27ac_RNA"
"25201",25201,"ENSMUSG00000022075",797,820,831,716,704,618,0.940576471,0.986047859,0.973463791,0.829565206,0.83082288,0.856724254,776.4189699,0.24225979,0.0748626,3.236058985,0.001211923,0.031215216,"Rhobtb2",246710,"H3K4me3_H3K27ac_RNA"
"32633",32633,"ENSMUSG00000022085",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Pebp4",73523,"H3K4me3_H3K27ac_RNA"
"20434",20434,"ENSMUSG00000033712",1740,1719,1685,1688,1693,1463,2.882351322,2.901495466,2.77064294,2.745186319,2.804494706,2.846812016,1784.934179,0.064797623,0.056903464,1.138728974,0.254816214,0.663139685,"Ccar2",219158,"H3K4me3_H3K27ac_RNA"
"11349",11349,"ENSMUSG00000022102",27,30,25,29,30,26,0.03850842,0.043597496,0.035392801,0.040606135,0.042787133,0.043559419,28.01457886,-0.073678241,0.311789839,-0.236307385,0.813194157,0.953095991,"Dok2",13449,"H3K4me3_H3K27ac_RNA"
"10517",10517,"ENSMUSG00000022108",2914,2619,2882,3127,3209,2545,10.11705669,9.265065367,9.932111852,10.65845448,11.14126113,10.37932762,2833.119604,-0.09756503,0.055407686,-1.760857317,0.078262556,0.406699752,"Itm2b",16432,"H3K4me3_H3K27ac_RNA"
